Time [ns],V(U1B5_M_DQ_0__B2) [V]
3.557051701,0.769596523
3.557207427,0.769369369
3.557363153,0.769146261
3.557616371,0.768789134
3.557869588,0.768437792
3.55821338,0.767969111
3.558557172,0.767507924
3.559221678,0.766632123
3.559886184,0.765773179
3.560906321,0.764480086
3.562628479,0.762348513
3.564357464,0.760254013
3.566,0.758293015
3.56712749,0.756962374
3.56825498,0.755639908
3.570509959,0.753018462
3.573761987,0.749310584
3.577014014,0.745711975
3.580266041,0.742246056
3.583518069,0.738933356
3.586770096,0.735790252
3.590022124,0.732827174
3.594059812,0.729402423
3.5980975,0.726252977
3.602135188,0.723363404
3.606172876,0.720707013
3.610210564,0.71824968
3.614248252,0.715959672
3.61828594,0.713816912
3.622323628,0.71181442
3.626361316,0.709957098
3.630399004,0.70826043
3.635368358,0.706425282
3.640337711,0.704908066
3.645307065,0.703729964
3.650276419,0.702898873
3.655245773,0.702414506
3.660215127,0.702265615
3.666221339,0.702506676
3.672227551,0.703168587
3.678233762,0.704191392
3.684239974,0.705494902
3.690246186,0.706982313
3.696252397,0.708545375
3.702258609,0.710075193
3.708264821,0.711470111
3.714271033,0.712642211
3.720277244,0.713518279
3.726283456,0.71404074
3.732289668,0.714167638
3.73829588,0.713874412
3.744302091,0.713155996
3.7504,0.712012967
3.750493015,0.711992322
3.750586029,0.71197159
3.751713519,0.711707382
3.752841009,0.711430514
3.755095988,0.710846582
3.75918929,0.709679266
3.764667423,0.707916911
3.770145556,0.705963988
3.775623689,0.703862326
3.781101821,0.701653789
3.785987436,0.699626689
3.788373328,0.69862516
3.790223646,0.697846489
3.790538469,0.697779508
3.790853292,0.697777861
3.791019661,0.697780894
3.791141798,0.697776477
3.791263935,0.6977647
3.791386073,0.697746766
3.79150821,0.697724279
3.791630347,0.69769808
3.791787699,0.697659316
3.791981432,0.697604963
3.792175165,0.697545175
3.792485517,0.697441467
3.792795868,0.697329962
3.793254432,0.697154409
3.793859971,0.69690898
3.794601734,0.696593831
3.795727574,0.696096668
3.797311447,0.69538191
3.79889532,0.694671921
3.8004,0.69401763
3.800493015,0.693978071
3.800586029,0.693938635
3.801713519,0.693480114
3.802841009,0.693041946
3.805095988,0.692216002
3.808154574,0.69120815
3.81121316,0.690320983
3.814271746,0.689534485
3.817330332,0.688827698
3.820388918,0.688183705
3.823447503,0.687590459
3.826506089,0.687041889
3.830322785,0.686419709
3.834139481,0.685875819
3.837956176,0.685428703
3.841772872,0.685102727
3.846721712,0.684905224
3.851670552,0.685001543
3.856619392,0.685406662
3.861568232,0.686106179
3.866517072,0.687061975
3.871465911,0.688225947
3.876414751,0.689548526
3.881363591,0.690988125
3.886312431,0.692509684
3.891261271,0.694079938
3.896210111,0.695661833
3.901158951,0.697214302
3.906107791,0.698694877
3.911056631,0.7000662
3.916005471,0.701297902
3.920954311,0.702374296
3.925903151,0.703291605
3.930851991,0.704056631
3.935800831,0.704683563
3.940749671,0.705190148
3.94569851,0.705595792
3.95064735,0.70592189
3.95559619,0.706192697
3.96054503,0.706432987
3.96549387,0.706668366
3.97044271,0.706927812
3.97539155,0.707239882
3.98034039,0.707627683
3.9848,0.708057718
3.98592749,0.708181898
3.98705498,0.708312455
3.989309959,0.708589203
3.993217639,0.709127231
3.998817743,0.71003546
4.004417847,0.711091795
4.010017951,0.712269699
4.015618054,0.713526574
4.020474243,0.714633907
4.023470865,0.715305025
4.024581306,0.715548734
4.025176535,0.715781459
4.025599518,0.715944011
4.025928128,0.716055519
4.026256739,0.716154492
4.026585349,0.716244121
4.026982649,0.716343521
4.027519118,0.716466977
4.028262476,0.716623912
4.029212341,0.716807244
4.030626939,0.717055535
4.032784803,0.717399122
4.0348,0.717697781
4.03592749,0.717857461
4.03705498,0.718012899
4.039309959,0.718309782
4.042915764,0.718724746
4.046521569,0.719036346
